Date,Open,High,Low,Close,Volume,Market Cap,Time Open,Time High,Time Low,Time Close
24-04-2026,78263.8237732247,78554.0949333971,77318.446411886,77455.3156179439,32784213526.2,1550717824694.32,2026-04-24T00:00:00.000Z,2026-04-24T02:04:00.000Z,2026-04-24T22:40:00.000Z,2026-04-24T23:59:59.999Z
23-04-2026,78203.8731861629,78676.9390812129,77014.4525079851,78268.9541080163,40354900915.57,1566830481949.34,2026-04-23T00:00:00.000Z,2026-04-23T15:25:00.000Z,2026-04-23T17:48:00.000Z,2026-04-23T23:59:59.999Z
22-04-2026,76354.21533438,79468.0022571901,76159.578471048,78203.0998567642,48336654536.69,1565601891823.28,2026-04-22T00:00:00.000Z,2026-04-22T16:06:00.000Z,2026-04-22T01:31:00.000Z,2026-04-22T23:59:59.999Z
21-04-2026,75872.8310534422,76881.4801088633,74852.6686288004,76352.7769427102,36453522626.26,1528539541677.66,2026-04-21T00:00:00.000Z,2026-04-21T08:49:00.000Z,2026-04-21T19:45:00.000Z,2026-04-21T23:59:59.999Z
20-04-2026,73854.2464044025,76575.3577810419,73775.570201968,75872.5247841284,39674447916.2,1518872332223.47,2026-04-20T00:00:00.000Z,2026-04-20T20:22:00.000Z,2026-04-20T00:01:00.000Z,2026-04-20T23:59:59.999Z
19-04-2026,75723.6947423149,76243.0898668773,73802.3849900433,73856.3547881724,30931515195.08,1478432251105.21,2026-04-19T00:00:00.000Z,2026-04-19T13:24:00.000Z,2026-04-19T22:25:00.000Z,2026-04-19T23:59:59.999Z
18-04-2026,77136.047279629,77416.7059323005,75504.9423654053,75726.2075561642,26014416775.59,1515817233191.03,2026-04-18T00:00:00.000Z,2026-04-18T02:24:00.000Z,2026-04-18T18:43:00.000Z,2026-04-18T23:59:59.999Z
17-04-2026,75164.0427318228,78320.6779221093,74558.5996906887,77126.8785598601,54137194838.51,1544052930857.01,2026-04-17T00:00:00.000Z,2026-04-17T16:24:00.000Z,2026-04-17T02:31:00.000Z,2026-04-17T23:59:59.999Z
16-04-2026,74810.8745639375,75506.572001178,73346.2632492192,75152.1293763418,41312783854.71,1504546166131.81,2026-04-16T00:00:00.000Z,2026-04-16T20:01:00.000Z,2026-04-16T13:56:00.000Z,2026-04-16T23:59:59.999Z
15-04-2026,74182.0265029052,75409.2727483105,73549.2039919501,74805.075436482,38090174312.46,1497441322375.75,2026-04-15T00:00:00.000Z,2026-04-15T22:40:00.000Z,2026-04-15T07:46:00.000Z,2026-04-15T23:59:59.999Z
14-04-2026,74478.4017119762,76061.7584050303,73877.2037211508,74181.6116510095,53540826529.91,1484822769014.49,2026-04-14T00:00:00.000Z,2026-04-14T14:33:00.000Z,2026-04-14T18:51:00.000Z,2026-04-14T23:59:59.999Z
13-04-2026,70757.6192235042,74896.3145800265,70588.5228261962,74484.6377504138,52278211554.42,1490719619286.8,2026-04-13T00:00:00.000Z,2026-04-13T23:31:00.000Z,2026-04-13T08:47:00.000Z,2026-04-13T23:59:59.999Z
12-04-2026,73056.0495870768,73154.0307462684,70540.5683837987,70753.4083340869,29882740487.02,1416213041182.25,2026-04-12T00:00:00.000Z,2026-04-12T01:04:00.000Z,2026-04-12T22:31:00.000Z,2026-04-12T23:59:59.999Z
11-04-2026,72976.1235490237,73784.232471385,72556.3353290528,73054.2696888107,23287073964.72,1462182130861.79,2026-04-11T00:00:00.000Z,2026-04-11T19:06:00.000Z,2026-04-11T13:12:00.000Z,2026-04-11T23:59:59.999Z
10-04-2026,71774.3673421088,73440.1136767158,71434.8258341856,72979.0503270674,37722595731.55,1460552966821.12,2026-04-10T00:00:00.000Z,2026-04-10T20:32:00.000Z,2026-04-10T08:05:00.000Z,2026-04-10T23:59:59.999Z
09-04-2026,71120.5710005381,73107.267057311,70486.3599945852,71767.8251278026,38799581473.13,1436472162936.48,2026-04-09T00:00:00.000Z,2026-04-09T22:18:00.000Z,2026-04-09T01:10:00.000Z,2026-04-09T23:59:59.999Z
08-04-2026,71950.1499174396,72825.1868213183,70707.4679152796,71123.3584710525,42444631703.43,1423355261108.52,2026-04-08T00:00:00.000Z,2026-04-08T13:19:00.000Z,2026-04-08T14:57:00.000Z,2026-04-08T23:59:59.999Z
07-04-2026,68859.3766611885,72732.4295111994,67740.509420096,71940.7012947185,44650511480.43,1439925471220.89,2026-04-07T00:00:00.000Z,2026-04-07T23:31:00.000Z,2026-04-07T15:08:00.000Z,2026-04-07T23:59:59.999Z
06-04-2026,68982.913469167,70305.4196705928,68347.0796078277,68859.8263950077,39542143228.74,1378040287744.35,2026-04-06T00:00:00.000Z,2026-04-06T16:49:00.000Z,2026-04-06T23:08:00.000Z,2026-04-06T23:59:59.999Z
05-04-2026,67291.1954121127,69087.6560235339,66610.6352570417,68981.9007921881,22972648674.04,1380484960618.36,2026-04-05T00:00:00.000Z,2026-04-05T23:38:00.000Z,2026-04-05T06:18:00.000Z,2026-04-05T23:59:59.999Z
04-04-2026,66938.6477110285,67515.0175187123,66769.6383776165,67290.5181488701,15878814963.14,1346597084077.54,2026-04-04T00:00:00.000Z,2026-04-04T19:16:00.000Z,2026-04-04T04:18:00.000Z,2026-04-04T23:59:59.999Z
03-04-2026,66889.0123701346,67296.2321437084,66281.5413708288,66931.099247444,22815543346.49,1339517178105.83,2026-04-03T00:00:00.000Z,2026-04-03T12:31:00.000Z,2026-04-03T02:43:00.000Z,2026-04-03T23:59:59.999Z
